   0,   500.000
   1,   500.025
   2,   500.025
   3,   500.000
   4,   500.025
   5,   500.000
   6,   500.025
   7,   500.000
   8,   500.000
   9,   500.025
  10,   500.000
  11,   500.025
  12,   500.025
  13,   500.000
  14,   500.025
  15,   500.000
  16,   500.025
  17,   500.000
  18,   500.000
  19,   500.025
  20,   500.000
  21,   500.025
  22,   500.025
  23,   500.000
  24,   500.025
  25,   500.000
  26,   500.000
  27,   500.025
  28,   500.000
  29,   500.025
  30,   500.000
  31,   500.025
  32,   500.025
  33,   500.000
  34,   500.025
  35,   500.000
  36,   500.000
  37,   500.025
  38,   500.000
  39,   500.025
  40,   500.025
  41,   500.000
  42,   500.025
  43,   500.000
  44,   500.025
  45,   500.000
  46,   500.000
  47,   500.025
  48,   500.000
  49,   500.025
  50,   500.025
  51,   500.000
  52,   500.025
  53,   500.000
  54,   500.025
  55,   500.000
  56,   500.000
  57,   500.025
  58,   500.000
  59,   500.025
  60,   500.025
  61,   500.000
  62,   500.025
  63,   500.000
  64,   500.000
  65,   500.025
  66,   500.000
  67,   500.025
  68,   500.025
  69,   500.000
  70,   500.025
  71,   500.000
  72,   500.025
  73,   500.000
  74,   500.000
  75,   500.025
  76,   500.000
  77,   500.025
  78,   500.025
  79,   500.000
  80,   500.025
  81,   500.000
  82,   500.025
  83,   500.000
  84,   500.000
  85,   500.025
  86,   500.000
  87,   500.025
  88,   500.025
  89,   500.000
  90,   500.025
  91,   500.000
  92,   500.025
  93,   500.000
  94,   500.000
  95,   500.025
  96,   500.000
  97,   500.025
  98,   500.025
  99,   500.000
 100,   500.025
 101,   500.000
 102,   500.000
 103,   500.025
 104,   500.000
 105,   500.025
 106,   500.025
 107,   500.000
 108,   500.025
 109,   500.000
 110,   500.025
 111,   500.000
 112,   500.000
 113,   500.025
 114,   500.000
 115,   500.025
 116,   500.025
 117,   500.000
 118,   500.025
 119,   500.000
 120,   500.025
 121,   500.000
 122,   500.000
 123,   500.025
 124,   500.000
 125,   500.025
 126,   500.025
 127,   500.000
 128,   500.025
 129,   500.000
 130,   500.025
 131,   500.000
 132,   500.000
 133,   500.025
 134,   500.000
 135,   500.025
 136,   500.025
 137,   500.000
 138,   500.025
 139,   500.000
 140,   500.000
 141,   500.025
 142,   500.000
 143,   500.025
 144,   500.025
 145,   500.000
 146,   500.025
 147,   500.000
 148,   500.025
 149,   500.000
 150,   500.000
 151,   500.025
 152,   500.000
 153,   500.025
 154,   500.025
 155,   500.000
 156,   500.025
 157,   500.000
 158,   500.025
 159,   500.000
 160,   500.000
 161,   500.025
 162,   500.000
 163,   500.025
 164,   500.025
 165,   500.000
 166,   500.025
 167,   500.000
 168,   500.025
 169,   500.000
 170,   500.000
 171,   500.025
 172,   500.000
 173,   500.025
 174,   500.025
 175,   500.000
 176,   500.025
 177,   500.000
 178,   500.000
 179,   500.025
 180,   500.000
 181,   500.025
 182,   500.025
 183,   500.000
 184,   500.025
 185,   500.000
 186,   500.025
 187,   500.000
 188,   500.000
 189,   500.025
 190,   500.000
 191,   500.025
 192,   500.025
 193,   500.000
 194,   500.025
 195,   500.000
 196,   500.025
 197,   500.000
 198,   500.000
